"Field Name", "Example Values", "Field Type", "Notes"
"rule_id", "6da61e4c-84a8-4136-900d-f86c09bb3774", "keyword", "Unique identifier of a rule"
"rule_name", "admin-user-template", "keyword", "Name of a Rule (ex. Outbound Web Traffic)"
