"Field Name", "Example Values", "Field Type", "Notes"
"host_as_*",,,"See: :ref:`as_* fields <as-*>`"
"host_category",,"keyword","Future: from entity mapping"
"host_geo_*",,,"See: :ref:`geo_* fields <geo-*>`"
"host_location_name","Chicago, US, Datacenter 01, Bismark - Finance","keyword","Field is derived either from an internal enterprise network definition or the Geo location fields if availble"
"host_priority","critical, high, medium, low","keyword","Future: from entity mapping"
"host_priority_level",2,"byte","Numeric value representing the priority of the host device, 1 = low, 2 = medium, 3 = high, 4 = critical"
"host_type",,"keyword","Machine “type”"
