"Field Name", "Example Values", "Field Type", "Notes"
"…_as_number","15169","keyword","Unique number. ASN identify each network on internet"
"…_as_organization","Graylog","keyword","Organization Name"
"…_as_isp",,"keyword","ISP associated with IP address"
"…_as_domain",,"keyword","Domain associated with IP address"
