"Field Name","Example Values","Field Type","Notes"
"…_geo_city_name","Hamburg, Houston","keyword","City Name"
"…_geo_country_iso","US, DE, CA","keyword","Country ISO Alpha-2 code"
"…_geo_country_name","USA, Canada","keyword","Country Name"
"…_geo_coordinates","34.1186,-118.3004","keyword","Latitude, Longitude Coordinate"
"…_geo_name","Hamburg, DE","keyword","Location Name, can be derived by combining other values"
"…_geo_state_name","Hamburg","keyword","State name"
